id,source_file,question,type,answer,raw,option_A,option_B
11,7-判断1（国防法规、三大条令）.docx,10.以美国为首的西方国家的民主制度具有普世性。 正确答案：错误,判断,错,"10.以美国为首的西方国家的民主制度具有普世性。
正确答案：错误",对,错
12,7-判断1（国防法规、三大条令）.docx,11.目前只有美国一个国家在散布“中国责任论”。 正确答案：错误,判断,错,"11.目前只有美国一个国家在散布“中国责任论”。
正确答案：错误",对,错
13,7-判断1（国防法规、三大条令）.docx,12.“一带一路”在它整个线的走向中，新疆和广西是两个核心区域。 正确答案：错误,判断,错,"12.“一带一路”在它整个线的走向中，新疆和广西是两个核心区域。
正确答案：错误",对,错
14,7-判断1（国防法规、三大条令）.docx,13.区域外大国介入的不断增加使得南海问题更加复杂化。 正确答案：正确,判断,对,"13.区域外大国介入的不断增加使得南海问题更加复杂化。
正确答案：正确",对,错
15,7-判断1（国防法规、三大条令）.docx,14.台湾原住民代表并不认可蔡英文背离“九二共识”的做法。 正确答案：正确,判断,对,"14.台湾原住民代表并不认可蔡英文背离“九二共识”的做法。
正确答案：正确",对,错
16,7-判断1（国防法规、三大条令）.docx,15.民兵是不脱产的群众武装组织，是中国人民解放军的助手和后备力量。 正确答案：正确,判断,对,"15.民兵是不脱产的群众武装组织，是中国人民解放军的助手和后备力量。
正确答案：正确",对,错
17,7-判断1（国防法规、三大条令）.docx,16.普通高等学校设军事训练机构，配备军事教员，组织实施学生的军事训练。 正确答案：正确,判断,对,"16.普通高等学校设军事训练机构，配备军事教员，组织实施学生的军事训练。
正确答案：正确",对,错
18,7-判断1（国防法规、三大条令）.docx,17.现役军人入伍前已被普通高等学校录取或者是正在普通高等学校就学的学生，服役期间保留入学资格或者学籍，退出现役后三年(两年)内允许入学或者复学，并按照国家有关规定享受奖学金、助学金和减免学费等优待。 正确答案：错误,判断,错,"17.现役军人入伍前已被普通高等学校录取或者是正在普通高等学校就学的学生，服役期间保留入学资格或者学籍，退出现役后三年(两年)内允许入学或者复学，并按照国家有关规定享受奖学金、助学金和减免学费等优待。
正确答案：错误",对,错
19,7-判断1（国防法规、三大条令）.docx,18.国家根据经济社会发展水平，适时调整退役金的标准退出现役士兵安置所需经费，由中央和省级（地方各级）人民政府共同负担。 正确答案：正确,判断,对,"18.国家根据经济社会发展水平，适时调整退役金的标准退出现役士兵安置所需经费，由中央和省级（地方各级）人民政府共同负担。
正确答案：正确",对,错
20,7-判断1（国防法规、三大条令）.docx,19.根据军队需要和本人自愿，可以征集当年十二月三十一日以前年满十七周岁未满十八周岁的公民服现役。 正确答案：正确,判断,对,"19.根据军队需要和本人自愿，可以征集当年十二月三十一日以前年满十七周岁未满十八周岁的公民服现役。
正确答案：正确",对,错
21,7-判断1（国防法规、三大条令）.docx,20.国家通过开展国防教育，使公民增强国防观念，掌握基本的国防知识，学习必要的军事技能，激发爱国热情，自觉履行国防义务。 正确答案：正确,判断,对,"20.国家通过开展国防教育，使公民增强国防观念，掌握基本的国防知识，学习必要的军事技能，激发爱国热情，自觉履行国防义务。
正确答案：正确",对,错
22,7-判断1（国防法规、三大条令）.docx,21.公民和组织依照宪法和法律规定在维护国防利益方面应当履行的责任，由国家强制力保证其落实。 正确答案：正确,判断,对,"21.公民和组织依照宪法和法律规定在维护国防利益方面应当履行的责任，由国家强制力保证其落实。
正确答案：正确",对,错
23,7-判断1（国防法规、三大条令）.docx,22.保卫祖国、抵抗侵略是中华人民共和国每一个公民的神圣职责。 正确答案：正确,判断,对,"22.保卫祖国、抵抗侵略是中华人民共和国每一个公民的神圣职责。
正确答案：正确",对,错
24,7-判断1（国防法规、三大条令）.docx,23.《中华人民共和国宪法》第55条:依照法律服兵役和参加民兵组织是中华人民共和国公民的光荣义务。 正确答案：正确,判断,对,"23.《中华人民共和国宪法》第55条:依照法律服兵役和参加民兵组织是中华人民共和国公民的光荣义务。
正确答案：正确",对,错
25,7-判断1（国防法规、三大条令）.docx,"24.中华人民共和国公民，不分民族、种族、职业、家庭出身、宗教信仰和教育程度,都有义务依照本法的规定服兵役。 正确答案：正确",判断,对,"24.中华人民共和国公民，不分民族、种族、职业、家庭出身、宗教信仰和教育程度,都有义务依照本法的规定服兵役。
正确答案：正确",对,错
26,7-判断1（国防法规、三大条令）.docx,25.有严重生理缺陷或者严重残疾不适合服兵役的人，免服兵役。 正确答案：正确,判断,对,"25.有严重生理缺陷或者严重残疾不适合服兵役的人，免服兵役。
正确答案：正确",对,错
27,7-判断1（国防法规、三大条令）.docx,26.依照法律被剥夺政治权利的人，不得服兵役。 正确答案：正确,判断,对,"26.依照法律被剥夺政治权利的人，不得服兵役。
正确答案：正确",对,错
28,7-判断1（国防法规、三大条令）.docx,27.应征公民是维持家庭生活的唯一劳动力或者正在全日制学校就学的学生，可以缓征。 正确答案：错误,判断,错,"27.应征公民是维持家庭生活的唯一劳动力或者正在全日制学校就学的学生，可以缓征。
正确答案：错误",对,错
29,7-判断1（国防法规、三大条令）.docx,28.学生军事训练的意义:公民履行兵役义务的一种形式，加强国防后备力量建设的战略措施，提高学生综合素质的有效途径。 正确答案：正确,判断,对,"28.学生军事训练的意义:公民履行兵役义务的一种形式，加强国防后备力量建设的战略措施，提高学生综合素质的有效途径。
正确答案：正确",对,错
30,7-判断1（国防法规、三大条令）.docx,29.年满18岁的所有公民必须按规定进行兵役登记。 正确答案：错误,判断,错,"29.年满18岁的所有公民必须按规定进行兵役登记。
正确答案：错误",对,错
31,7-判断1（国防法规、三大条令）.docx,30.根据宪法，制定《中华人民共和国国旗法》的目的是：为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神。 正确答案：正确 答案解析：为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神，培育和践行社会主义核心价值观，根据宪法，制定本法。,判断,对,"30.根据宪法，制定《中华人民共和国国旗法》的目的是：为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神。
正确答案：正确
答案解析：为了维护国旗的尊严，规范国旗的使用，增强公民的国家观念，弘扬爱国主义精神，培育和践行社会主义核心价值观，根据宪法，制定本法。",对,错
32,7-判断1（国防法规、三大条令）.docx,31.中华人民共和国国旗是五星红旗。 正确答案：正确 答案解析：中华人民共和国国旗是五星红旗。,判断,对,"31.中华人民共和国国旗是五星红旗。
正确答案：正确
答案解析：中华人民共和国国旗是五星红旗。",对,错
33,7-判断1（国防法规、三大条令）.docx,32.中华人民共和国国旗按照中国人民政治协商会议第二届全体会议主席团公布的国旗制法说明制作。 正确答案：错误 答案解析：中华人民共和国国旗按照中国人民政治协商会议第一届全体会议主席团公布的国旗制法说明制作。,判断,错,"32.中华人民共和国国旗按照中国人民政治协商会议第二届全体会议主席团公布的国旗制法说明制作。
正确答案：错误
答案解析：中华人民共和国国旗按照中国人民政治协商会议第一届全体会议主席团公布的国旗制法说明制作。",对,错
34,7-判断1（国防法规、三大条令）.docx,33.国旗的通用尺度为国旗制法说明中所列明的六种尺度。 正确答案：错误 答案解析：国旗的通用尺度为国旗制法说明中所列明的五种尺度。,判断,错,"33.国旗的通用尺度为国旗制法说明中所列明的六种尺度。
正确答案：错误
答案解析：国旗的通用尺度为国旗制法说明中所列明的五种尺度。",对,错
35,7-判断1（国防法规、三大条令）.docx,34.特殊情况使用其他尺度的国旗，应当按照通用尺度成比例适当放大或者缩小。 正确答案：正确 答案解析：特殊情况使用其他尺度的国旗，应当按照通用尺度成比例适当放大或者缩小。,判断,对,"34.特殊情况使用其他尺度的国旗，应当按照通用尺度成比例适当放大或者缩小。
正确答案：正确
答案解析：特殊情况使用其他尺度的国旗，应当按照通用尺度成比例适当放大或者缩小。",对,错
36,7-判断1（国防法规、三大条令）.docx,35.国旗、旗杆的尺度比例应当适当，并与使用目的、周围建筑、周边环境相适应。 正确答案：正确 答案解析：国旗、旗杆的尺度比例应当适当，并与使用目的、周围建筑、周边环境相适应。,判断,对,"35.国旗、旗杆的尺度比例应当适当，并与使用目的、周围建筑、周边环境相适应。
正确答案：正确
答案解析：国旗、旗杆的尺度比例应当适当，并与使用目的、周围建筑、周边环境相适应。",对,错
37,7-判断1（国防法规、三大条令）.docx,36.中华人民共和国国旗是中华人民共和国的象征和标志。 正确答案：正确 答案解析：中华人民共和国国旗是中华人民共和国的象征和标志。,判断,对,"36.中华人民共和国国旗是中华人民共和国的象征和标志。
正确答案：正确
答案解析：中华人民共和国国旗是中华人民共和国的象征和标志。",对,错
38,7-判断1（国防法规、三大条令）.docx,"37.每个公民和组织,都应当尊重和爱护国旗。 正确答案：正确 答案解析：每个公民和组织,都应当尊重和爱护国旗。",判断,对,"37.每个公民和组织,都应当尊重和爱护国旗。
正确答案：正确
答案解析：每个公民和组织,都应当尊重和爱护国旗。",对,错
39,7-判断1（国防法规、三大条令）.docx,38.国旗代表国家尊严，象征国家主权，每一个公民都有责任和义务维护国旗的尊严。 正确答案：正确 答案解析：国旗代表国家尊严，象征国家主权，每一个公民都有责任和义务维护国旗的尊严。,判断,对,"38.国旗代表国家尊严，象征国家主权，每一个公民都有责任和义务维护国旗的尊严。
正确答案：正确
答案解析：国旗代表国家尊严，象征国家主权，每一个公民都有责任和义务维护国旗的尊严。",对,错
40,7-判断1（国防法规、三大条令）.docx,39.正确使用国旗也是一种爱国的主要方式。 正确答案：正确 答案解析：正确使用国旗也是一种爱国的主要方式。,判断,对,"39.正确使用国旗也是一种爱国的主要方式。
正确答案：正确
答案解析：正确使用国旗也是一种爱国的主要方式。",对,错
41,7-判断1（国防法规、三大条令）.docx,40.作为爱国行为，国旗随便挂哪里都可以。 正确答案：错误 答案解析：根据《中华人民共和国国旗法》，国旗使用时，应该选取悬挂国旗的位置一定要合适，悬挂的国旗不能落地，也不能让国旗被风吹成一团。,判断,错,"40.作为爱国行为，国旗随便挂哪里都可以。
正确答案：错误
答案解析：根据《中华人民共和国国旗法》，国旗使用时，应该选取悬挂国旗的位置一定要合适，悬挂的国旗不能落地，也不能让国旗被风吹成一团。",对,错
42,7-判断1（国防法规、三大条令）.docx,41.为了代表中国制造的产品，A公司将国旗设计到本公司的商标里并拿来做广告。 正确答案：错误 答案解析：国旗及其图案不得用作商标和广告，不得用于私人丧事活动的要求。,判断,错,"41.为了代表中国制造的产品，A公司将国旗设计到本公司的商标里并拿来做广告。
正确答案：错误
答案解析：国旗及其图案不得用作商标和广告，不得用于私人丧事活动的要求。",对,错
43,7-判断1（国防法规、三大条令）.docx,42.某村某老人病逝，家属了解老人是一名党员，遂自行购买了一面国旗覆盖到该老人的遗体上。这样使用国旗违法了。 正确答案：正确 答案解析：根据国旗法第二十条，国旗不得用于私人丧事活动。,判断,对,"42.某村某老人病逝，家属了解老人是一名党员，遂自行购买了一面国旗覆盖到该老人的遗体上。这样使用国旗违法了。
正确答案：正确
答案解析：根据国旗法第二十条，国旗不得用于私人丧事活动。",对,错
44,7-判断1（国防法规、三大条令）.docx,43.某单位的国旗使用时间较长，出现破损，由于没有及时进行申领新的国旗。于是便悬挂破损的国旗，这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十九条，不得升挂破损国旗。,判断,对,"43.某单位的国旗使用时间较长，出现破损，由于没有及时进行申领新的国旗。于是便悬挂破损的国旗，这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十九条，不得升挂破损国旗。",对,错
45,7-判断1（国防法规、三大条令）.docx,44.某单位在组织爬山运动，分发了队旗，也有领队手执国旗站队伍的前面，但在出发时，有大部分手执队旗的人情绪高涨，跑到队伍的前面，把手执国旗的领队远远的抛在后面。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十七条，国旗和其他旗帜行进时，国旗应当在其他旗帜之前。,判断,对,"44.某单位在组织爬山运动，分发了队旗，也有领队手执国旗站队伍的前面，但在出发时，有大部分手执队旗的人情绪高涨，跑到队伍的前面，把手执国旗的领队远远的抛在后面。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十七条，国旗和其他旗帜行进时，国旗应当在其他旗帜之前。",对,错
46,7-判断1（国防法规、三大条令）.docx,45.某商铺在国庆期间时，为了吸引关注度，购买了一些彩旗和一面国旗，并将彩旗和国旗用绳子串联在一起悬挂在店面的门头。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第二十条，国旗不得用于商业广告。,判断,对,"45.某商铺在国庆期间时，为了吸引关注度，购买了一些彩旗和一面国旗，并将彩旗和国旗用绳子串联在一起悬挂在店面的门头。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第二十条，国旗不得用于商业广告。",对,错
47,7-判断1（国防法规、三大条令）.docx,46.在重大节日，某商家购买国旗，将国旗倒插在门店外，以表达爱国之心。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十七条，不得倒插国旗,判断,对,"46.在重大节日，某商家购买国旗，将国旗倒插在门店外，以表达爱国之心。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十七条，不得倒插国旗",对,错
48,7-判断1（国防法规、三大条令）.docx,47.某检察院的国旗管理人员管理疏忽，国旗长期悬挂，导致国旗撕裂，该人员怕麻烦，继续使用破损的国旗进行升挂。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十九条，不得使用破损等不合格的国旗,判断,对,"47.某检察院的国旗管理人员管理疏忽，国旗长期悬挂，导致国旗撕裂，该人员怕麻烦，继续使用破损的国旗进行升挂。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十九条，不得使用破损等不合格的国旗",对,错
49,7-判断1（国防法规、三大条令）.docx,48.某单位的一位员工生前对国家有杰出贡献，单位领导向国务院申请给予该员工遗体覆盖国旗，在得到国务院批准后，给予遗体覆盖国旗，在覆盖中，由于人员不懂国旗法，导致国旗触及地面。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十六条，覆盖国旗时，国旗不得触及地面,判断,对,"48.某单位的一位员工生前对国家有杰出贡献，单位领导向国务院申请给予该员工遗体覆盖国旗，在得到国务院批准后，给予遗体覆盖国旗，在覆盖中，由于人员不懂国旗法，导致国旗触及地面。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十六条，覆盖国旗时，国旗不得触及地面",对,错
50,7-判断1（国防法规、三大条令）.docx,49.在南方某学校由于星期一早上下雨，领导决定安排中午的时候进行升挂国旗。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十三条，升挂国旗应当早晨升起，傍晚降下,判断,对,"49.在南方某学校由于星期一早上下雨，领导决定安排中午的时候进行升挂国旗。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十三条，升挂国旗应当早晨升起，傍晚降下",对,错
51,7-判断1（国防法规、三大条令）.docx,50.在甲村，由于台风天气将国旗撕裂，加上下暴雨，国旗管理人员忙于工作，忘记将国旗在傍晚降下，导致国旗连续几天悬挂在旗杆。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十九条，不得使用破损有损国旗尊严的方式使用国旗。,判断,对,"50.在甲村，由于台风天气将国旗撕裂，加上下暴雨，国旗管理人员忙于工作，忘记将国旗在傍晚降下，导致国旗连续几天悬挂在旗杆。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十九条，不得使用破损有损国旗尊严的方式使用国旗。",对,错
52,7-判断1（国防法规、三大条令）.docx,51.某学校在新生军训后进行结营仪式，每位新生自行购买了尺寸合格的手持式小国旗，结营仪式结束后，学生随意将国旗丢弃到垃圾桶。这样使用国旗违法了。 正确答案：正确 答案解析：依据国旗法第十九条，不得随意丢弃国旗,判断,对,"51.某学校在新生军训后进行结营仪式，每位新生自行购买了尺寸合格的手持式小国旗，结营仪式结束后，学生随意将国旗丢弃到垃圾桶。这样使用国旗违法了。
正确答案：正确
答案解析：依据国旗法第十九条，不得随意丢弃国旗",对,错
53,7-判断1（国防法规、三大条令）.docx,52.国家综合性消防救援队伍的船舶升挂国旗的办法，由人民代表大会应急管理部门规定。 正确答案：错误 答案解析：由国务院应急管理部门规定,判断,错,"52.国家综合性消防救援队伍的船舶升挂国旗的办法，由人民代表大会应急管理部门规定。
正确答案：错误
答案解析：由国务院应急管理部门规定",对,错
54,7-判断1（国防法规、三大条令）.docx,53.某商场在开业活动现场上，为了烘托热闹的气氛，四处挂满了五颜六色的国旗，并把促销商品印在国旗上 。 正确答案：错误 答案解析：国旗法规定，国旗及其图案不得用作商标和广告,判断,错,"53.某商场在开业活动现场上，为了烘托热闹的气氛，四处挂满了五颜六色的国旗，并把促销商品印在国旗上 。
正确答案：错误
答案解析：国旗法规定，国旗及其图案不得用作商标和广告",对,错
55,7-判断1（国防法规、三大条令）.docx,54.某城管为了整理市容，在拆除一些商家门口的国旗后，并随手丢在地上 。 正确答案：错误 答案解析：公共场所故意践踏国旗，依法追究刑事责任,判断,错,"54.某城管为了整理市容，在拆除一些商家门口的国旗后，并随手丢在地上 。
正确答案：错误
答案解析：公共场所故意践踏国旗，依法追究刑事责任",对,错
56,7-判断1（国防法规、三大条令）.docx,55.生活中常见很多微商会在其售卖的产品图上加上国旗，表明自己对国家的热爱以及自家产品的权威。 正确答案：错误 答案解析：国旗法规定，国旗及其图案不得用作商标和广告,判断,错,"55.生活中常见很多微商会在其售卖的产品图上加上国旗，表明自己对国家的热爱以及自家产品的权威。
正确答案：错误
答案解析：国旗法规定，国旗及其图案不得用作商标和广告",对,错
57,7-判断1（国防法规、三大条令）.docx,56.公民小明在网络中用国旗制作成表情包，并以开玩笑的形式跟朋友斗图，并发表不文明的言论。 正确答案：错误 答案解析：不得损害国旗尊严,判断,错,"56.公民小明在网络中用国旗制作成表情包，并以开玩笑的形式跟朋友斗图，并发表不文明的言论。
正确答案：错误
答案解析：不得损害国旗尊严",对,错
58,7-判断1（国防法规、三大条令）.docx,57.某地富豪的儿子结婚了，为了显示其财力雄厚，直接包下当地的一个五星级酒店宴请酒席，并在酒店上挂满了国旗，还在国旗上印上全家福作为看点。 正确答案：错误 答案解析：国旗法规定，国旗及其图案不得用作私人活动,判断,错,"57.某地富豪的儿子结婚了，为了显示其财力雄厚，直接包下当地的一个五星级酒店宴请酒席，并在酒店上挂满了国旗，还在国旗上印上全家福作为看点。
正确答案：错误
答案解析：国旗法规定，国旗及其图案不得用作私人活动",对,错
59,7-判断1（国防法规、三大条令）.docx,58.国庆期间，学校、大型商场、公园里都挂满了红艳艳的国旗，学生小明感受到浓浓的节日气息，不知觉地哼唱起了《歌唱祖国》。 正确答案：正确 答案解析：国家提倡公民和组织在适宜的场合使用国旗以及图案，表达爱国情感。,判断,对,"58.国庆期间，学校、大型商场、公园里都挂满了红艳艳的国旗，学生小明感受到浓浓的节日气息，不知觉地哼唱起了《歌唱祖国》。
正确答案：正确
答案解析：国家提倡公民和组织在适宜的场合使用国旗以及图案，表达爱国情感。",对,错
60,7-判断1（国防法规、三大条令）.docx,59.某外国的民用船舶在进入中国领水领域时，需要按照国务院交通主管部门的规定升挂国旗。 正确答案：正确 答案解析：国务院交通主管部门规定民用船舶和进入中国领水的外国船舶升挂国旗的方法。,判断,对,"59.某外国的民用船舶在进入中国领水领域时，需要按照国务院交通主管部门的规定升挂国旗。
正确答案：正确
答案解析：国务院交通主管部门规定民用船舶和进入中国领水的外国船舶升挂国旗的方法。",对,错
61,7-判断1（国防法规、三大条令）.docx,60.国庆期间，某培训机构为了在国庆期间更好的促销其课程，在网上制作了一批印有促销活动的小红旗发给机构的学员，并要求学员把这些小红旗派发给附近的居民。 正确答案：错误 答案解析：国旗法规定，国旗及其图案不得用作商标和广告,判断,错,"60.国庆期间，某培训机构为了在国庆期间更好的促销其课程，在网上制作了一批印有促销活动的小红旗发给机构的学员，并要求学员把这些小红旗派发给附近的居民。
正确答案：错误
答案解析：国旗法规定，国旗及其图案不得用作商标和广告",对,错
62,7-判断1（国防法规、三大条令）.docx,61.网络上可以随意使用国旗图案以及调整大小，不仅可以用作图片的背景，还可以用作PPT的封面。 正确答案：错误 答案解析：网络使用的国旗图案标准版在中国人大网和中国政府网上发布。,判断,错,"61.网络上可以随意使用国旗图案以及调整大小，不仅可以用作图片的背景，还可以用作PPT的封面。
正确答案：错误
答案解析：网络使用的国旗图案标准版在中国人大网和中国政府网上发布。",对,错
63,7-判断1（国防法规、三大条令）.docx,62.民族自治地方在民族自治地方成立纪念日和主要传统民族节日应当升挂国旗。 正确答案：正确 答案解析：依据国旗法第七条，民族自治地方在民族自治地方成立纪念日和主要传统民族节日应当升挂国旗。,判断,对,"62.民族自治地方在民族自治地方成立纪念日和主要传统民族节日应当升挂国旗。
正确答案：正确
答案解析：依据国旗法第七条，民族自治地方在民族自治地方成立纪念日和主要传统民族节日应当升挂国旗。",对,错
64,7-判断1（国防法规、三大条令）.docx,63.全日制学校应当每日升挂国旗。 正确答案：错误 答案解析：根据国旗法第六条，学校除寒假、暑假和休息日外，应当每日升挂国旗。有条件的幼儿园参照学校的规定升挂国旗。,判断,错,"63.全日制学校应当每日升挂国旗。
正确答案：错误
答案解析：根据国旗法第六条，学校除寒假、暑假和休息日外，应当每日升挂国旗。有条件的幼儿园参照学校的规定升挂国旗。",对,错
65,7-判断1（国防法规、三大条令）.docx,64.依照《国旗法》的相关规定应当升挂国旗的，遇有恶劣天气，可以不升挂。 正确答案：正确 答案解析：依据国旗法第十三条，依照本法规定应当升挂国旗的，遇有恶劣天气，可以不升挂。,判断,对,"64.依照《国旗法》的相关规定应当升挂国旗的，遇有恶劣天气，可以不升挂。
正确答案：正确
答案解析：依据国旗法第十三条，依照本法规定应当升挂国旗的，遇有恶劣天气，可以不升挂。",对,错
66,7-判断1（国防法规、三大条令）.docx,65.公共文化体育设施应当在开放日升挂、悬挂国旗，博物馆、美术馆除外。 正确答案：错误 答案解析：依据国旗法第六条，图书馆、博物馆、文化馆、美术馆、科技馆、纪念馆、展览馆、体育馆、青少年宫等公共文化体育设施应当在开放日升挂、悬挂国旗。,判断,错,"65.公共文化体育设施应当在开放日升挂、悬挂国旗，博物馆、美术馆除外。
正确答案：错误
答案解析：依据国旗法第六条，图书馆、博物馆、文化馆、美术馆、科技馆、纪念馆、展览馆、体育馆、青少年宫等公共文化体育设施应当在开放日升挂、悬挂国旗。",对,错
67,7-判断1（国防法规、三大条令）.docx,66.下列场所或者机构所在地，应当每日升挂国旗，如北京天安门广场、新华门；全国人民代表大会常务委员会，国务院，中央军事委员会，最高人民法院，最高人民检察院；中国人民政治协商会议全国委员会；外交部；出境入境的机场、港口、火车站和其他边境口岸，边防海防哨所。 正确答案：正确 答案解析：依据国旗法第五条。,判断,对,"66.下列场所或者机构所在地，应当每日升挂国旗，如北京天安门广场、新华门；全国人民代表大会常务委员会，国务院，中央军事委员会，最高人民法院，最高人民检察院；中国人民政治协商会议全国委员会；外交部；出境入境的机场、港口、火车站和其他边境口岸，边防海防哨所。
正确答案：正确
答案解析：依据国旗法第五条。",对,错
68,7-判断1（国防法规、三大条令）.docx,67.不以春节为传统节日的少数民族地区，春节是否升挂国旗，由民族自治地方的自治机关规定。 正确答案：正确 答案解析：依据国旗法第七条。,判断,对,"67.不以春节为传统节日的少数民族地区，春节是否升挂国旗，由民族自治地方的自治机关规定。
正确答案：正确
答案解析：依据国旗法第七条。",对,错
69,7-判断1（国防法规、三大条令）.docx,68.举行重大庆祝、纪念活动，大型文化、体育活动，可以升挂国旗。大型展览会可视情况而定。 正确答案：错误 答案解析：依据国旗法第八条。举行重大庆祝、纪念活动，大型文化、体育活动，大型展览会，可以升挂国旗。,判断,错,"68.举行重大庆祝、纪念活动，大型文化、体育活动，可以升挂国旗。大型展览会可视情况而定。
正确答案：错误
答案解析：依据国旗法第八条。举行重大庆祝、纪念活动，大型文化、体育活动，大型展览会，可以升挂国旗。",对,错
70,7-判断1（国防法规、三大条令）.docx,69.举行升旗仪式时，在国旗升起的过程中，可奏国歌，参加者可随音乐齐唱国歌，并自由活动。 正确答案：错误 答案解析：依据国旗法第十三条。举行升旗仪式时，在国旗升起的过程中，参加者应当面向国旗肃立致敬，并可以奏国歌或者唱国歌。,判断,错,"69.举行升旗仪式时，在国旗升起的过程中，可奏国歌，参加者可随音乐齐唱国歌，并自由活动。
正确答案：错误
答案解析：依据国旗法第十三条。举行升旗仪式时，在国旗升起的过程中，参加者应当面向国旗肃立致敬，并可以奏国歌或者唱国歌。",对,错
71,7-判断1（国防法规、三大条令）.docx,70.学校每周举行一次升挂国旗仪式，应当早晨升起，傍晚降下。 正确答案：正确 答案解析：依据国旗法第十二条的规定升挂国旗的，应当早晨升起，傍晚降下。,判断,对,"70.学校每周举行一次升挂国旗仪式，应当早晨升起，傍晚降下。
正确答案：正确
答案解析：依据国旗法第十二条的规定升挂国旗的，应当早晨升起，傍晚降下。",对,错
72,7-判断1（国防法规、三大条令）.docx,71.军事机关、军队营区、军用舰船，按照中央军事委员会的有关规定升挂国旗。 正确答案：正确 答案解析：依据国旗法第十条。军事机关、军队营区、军用舰船，按照中央军事委员会的有关规定升挂国旗。,判断,对,"71.军事机关、军队营区、军用舰船，按照中央军事委员会的有关规定升挂国旗。
正确答案：正确
答案解析：依据国旗法第十条。军事机关、军队营区、军用舰船，按照中央军事委员会的有关规定升挂国旗。",对,错
73,7-判断1（国防法规、三大条令）.docx,72.销售的国旗，国旗旗面应为红色，旗面左上方缀黄色五角星五颗，一星较大，四星较小。 正确答案：正确,判断,对,"72.销售的国旗，国旗旗面应为红色，旗面左上方缀黄色五角星五颗，一星较大，四星较小。
正确答案：正确",对,错
