id,source_file,question,type,answer,raw,option_A,option_B,option_C,option_D,option_E
11,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,10. 抗日战争胜利前后，围绕未来如何建设国家问题，中国面临着两种命运的抉择。这两种命运是(      ),多选,A|C,"10. 抗日战争胜利前后，围绕未来如何建设国家问题，中国面临着两种命运的抉择。这两种命运是(      )
A、民主与专制
B、联合政府与多党执政
C、和平与内战
D、君主立宪与民主共和
正确答案：AC
答案解析：本题是单类型单项选择题。据本题主题干设问词，可知这是推断题，时空是抗战胜利后的中国。根据所学可知，抗日成争胜利前后，围绕未来如何建设国家问题，中国面临着两种命运的抉择，即建立民主政治与专制独裁统治的斗争，A项正确；维护国内和平与国共两党内战的斗争，C项正确；当时面临的是联合政府与一党独裁的抉择，并不是多党执政，排除B项；“君主立宪与民主共和”属于资产阶级维新派与革命派的追求，不是抗战胜利后面临的抉择，排除D项。故本题选AC项。",A. 民主与专制,B. 联合政府与多党执政,C. 和平与内战,D. 君主立宪与民主共和 正确答案：AC 答案解析：本题是单类型单项选择题。据本题主题干设问词，可知这是推断题，时空是抗战胜利后的中国。根据所学可知，抗日成争胜利前后，围绕未来如何建设国家问题，中国面临着两种命运的抉择，即建立民主政治与专制独裁统治的斗争，A项正确；维护国内和平与国共两党内战的斗争，C项正确；当时面临的是联合政府与一党独裁的抉择，并不是多党执政，排除B项；“君主立宪与民主共和”属于资产阶级维新派与革命派的追求，不是抗战胜利后面临的抉择，排除D项。故本题选AC项。,
12,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,11. 人民英雄纪念碑记录着我们中华民族的荣与辱。碑身背面刻有碑文“三十年（1919~1949）以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！”碑文中“三十年以来”的抗争包括(      ),多选,B|C|D,"11. 人民英雄纪念碑记录着我们中华民族的荣与辱。碑身背面刻有碑文“三十年（1919~1949）以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！”碑文中“三十年以来”的抗争包括(      )
A、太平天国运动
B、国民革命
C、人民解放战争
D、抗日战争
正确答案：BCD
答案解析：依据材料“三十年（1919~1949）以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！”，结合所学可知，国民革命运动是1924-1927年，人民解放战争是1946-1949年，抗日战争是1931-1945年，符合材料时间，BCD项正确；太平天国运动时间是1851-1864年，时间与材料不符，排除A项。故选BCD项。",A. 太平天国运动,B. 国民革命,C. 人民解放战争,D. 抗日战争 正确答案：BCD 答案解析：依据材料“三十年（1919~1949）以来，在人民解放战争和人民革命中牺牲的人民英雄们永垂不朽！”，结合所学可知，国民革命运动是1924-1927年，人民解放战争是1946-1949年，抗日战争是1931-1945年，符合材料时间，BCD项正确；太平天国运动时间是1851-1864年，时间与材料不符，排除A项。故选BCD项。,
13,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,12. 有人形象地说南京既是中国近代史的起点，也是中国近代史的终点。下列能够反映这种说法的两个历史片断是(      ),多选,A|D,"12. 有人形象地说南京既是中国近代史的起点，也是中国近代史的终点。下列能够反映这种说法的两个历史片断是(      )
A、《南京条约》的签订
B、太平天国定都天京
C、中华民国临时政府成立
D、人民解放军占领南京
正确答案：AD
答案解析：1842年《南京条约》签订，标志中国近代史的开端，而1949年4月23日南京的解放，标志新民主主义革命基本胜利，近代史结束，
A、D正确；太平天国定都南京、中华民国临时政府成立都不能作为近代史开端或者终结的标志，排除B、C项。故选A、D项。",A. 《南京条约》的签订,A. D正确；太平天国定都南京、中华民国临时政府成立都不能作为近代史开端或者终结的标志，排除B、C项。故选A、D项。,B. 太平天国定都天京,C. 中华民国临时政府成立,D. 人民解放军占领南京 正确答案：AD 答案解析：1842年《南京条约》签订，标志中国近代史的开端，而1949年4月23日南京的解放，标志新民主主义革命基本胜利，近代史结束，
14,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,13. 庆祝中华人民共和国成立70周年大会上群众游行有“裕血奇战方阵（如图），以三辆并行彩车为主，彩车分别载有八一勋章，独立自由勋章和解放勋章，分别寓意在反对国民党、抗日、解放等三次革命战净中所取得的胜利。下列属于上述革命战净的是(      ),多选,B|C|D,"13. 庆祝中华人民共和国成立70周年大会上群众游行有“裕血奇战方阵（如图），以三辆并行彩车为主，彩车分别载有八一勋章，独立自由勋章和解放勋章，分别寓意在反对国民党、抗日、解放等三次革命战净中所取得的胜利。下列属于上述革命战净的是(      )
A、北伐战争
B、飞夺泸定桥
C、百团大战
D、准海战役
正确答案：BCD
答案解析：根据材料中“彩车分别载有八一勋章，独立自由勋章和解放勋章，分别寓意在反对国民党、抗日、解放等三次革命战净中所取得的胜利”，结合所学可知，材料三次革命战净分别是国共第一次内战、抗日战净、解放战净，与三者相对应的战役分别是飞夺泸定桥、百团大战、准海战役，故选BCD；北伐战净属于第一次国共合作时期的事件，故排除A。",A. 北伐战争,B. 飞夺泸定桥,C. 百团大战,D. 准海战役 正确答案：BCD 答案解析：根据材料中“彩车分别载有八一勋章，独立自由勋章和解放勋章，分别寓意在反对国民党、抗日、解放等三次革命战净中所取得的胜利”，结合所学可知，材料三次革命战净分别是国共第一次内战、抗日战净、解放战净，与三者相对应的战役分别是飞夺泸定桥、百团大战、准海战役，故选BCD；北伐战净属于第一次国共合作时期的事件，故排除A。,
15,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,14. 为了完成统一祖国大陆的伟大事业，中共中央于1950年1月上旬决定，以谁为主于4月开始组织向西藏进军，10月以前占领全藏。(      ),多选,A|B,"14. 为了完成统一祖国大陆的伟大事业，中共中央于1950年1月上旬决定，以谁为主于4月开始组织向西藏进军，10月以前占领全藏。(      )
A、西南局
B、第二野战军
C、西北局
D、第一野战军
正确答案：AB
答案解析：为了完成统一祖国大陆的伟大事业，中共中央于1950年1月上旬决定：以西南局和第二野战军为主，在西北局和第一野战军的配合下，于4月开始组织向西戴进军，10月以前占领全藏。",A. 西南局,B. 第二野战军,C. 西北局,D. 第一野战军 正确答案：AB 答案解析：为了完成统一祖国大陆的伟大事业，中共中央于1950年1月上旬决定：以西南局和第二野战军为主，在西北局和第一野战军的配合下，于4月开始组织向西戴进军，10月以前占领全藏。,
16,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,15. 解放战争期间，我军实行大迂回大包围，通过哪几场战役歼灭了白崇禧、余汉谋两集团。,多选,A|B|C,"15. 解放战争期间，我军实行大迂回大包围，通过哪几场战役歼灭了白崇禧、余汉谋两集团。
A、衡宝战役
B、广东战役
C、广西战役
D、太原战役
正确答案：ABC
答案解析：解放战争期间，我军通过衡宝战役、广东战役、广西战役歼灭了白崇禧、余汉谋两集团，太原战役是歼灭阎锡山集团。",A. 衡宝战役,B. 广东战役,C. 广西战役,D. 太原战役 正确答案：ABC 答案解析：解放战争期间，我军通过衡宝战役、广东战役、广西战役歼灭了白崇禧、余汉谋两集团，太原战役是歼灭阎锡山集团。,
17,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,16. 海南岛战役，是我军以木船为主、配以部分机帆船作为航渡工具，突破敌中陆梅空军组成的“立体防御”的一次成功的岛屿进攻战役。战役顺利发展的原因是。(      ),多选,A|B|C,"16. 海南岛战役，是我军以木船为主、配以部分机帆船作为航渡工具，突破敌中陆梅空军组成的“立体防御”的一次成功的岛屿进攻战役。战役顺利发展的原因是。(      )
A、有效运用琼崖纵队这支有力的接应力量
B、明确树立了独力攻进不靠后授的思想
C、加强了战前准备和战役的组织指挥
D、适应大兵团作战和战略性决战战役的特点
正确答案：ABC
答案解析：适应大兵团作战和战略性决战战役的特点属于辽沈战役胜利的原因，而非海南岛战役顺利发展的原因。",A. 有效运用琼崖纵队这支有力的接应力量,B. 明确树立了独力攻进不靠后授的思想,C. 加强了战前准备和战役的组织指挥,D. 适应大兵团作战和战略性决战战役的特点 正确答案：ABC 答案解析：适应大兵团作战和战略性决战战役的特点属于辽沈战役胜利的原因，而非海南岛战役顺利发展的原因。,
18,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,17. 下列哪些事件属于我军主力转入战略进攻，将战争引向国民党统治区域的。(      ),多选,A|C,"17. 下列哪些事件属于我军主力转入战略进攻，将战争引向国民党统治区域的。(      )
A、三路大军挺近中原
B、辽沈战役
C、西北、华东战场我军举行反攻作战
D、淮海战役
正确答案：AC
答案解析：辽沈战役和淮海战役属于战略决战时期，而非我军主力转入战略进攻时期。",A. 三路大军挺近中原,B. 辽沈战役,C. 西北、华东战场我军举行反攻作战,D. 淮海战役 正确答案：AC 答案解析：辽沈战役和淮海战役属于战略决战时期，而非我军主力转入战略进攻时期。,
19,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,18. 新中国成立后，为了保卫人民政权，我军在短期内取得剿匪斗争的巨大胜利，主要的原因在于（     ）,多选,A|B|D,"18. 新中国成立后，为了保卫人民政权，我军在短期内取得剿匪斗争的巨大胜利，主要的原因在于（     ）
A、党中央抽调大批正规部队执行工作队任务
B、建立以地方党委为核心的一元化领导
C、贯彻以歼灭敌人有生力量为主的方针
D、坚决发动群众，武装群众，依靠群众开展对匪特的斗争
正确答案：ABD
答案解析：在剿匪斗争中，我军坚持军事打击与政治瓦解相结合，坚决贯彻首恶者必办，胁从者不问，立功者受奖的政策，分化瓦解匪特，并未执行以歼灭敌人有生力量为主的方针。",A. 党中央抽调大批正规部队执行工作队任务,B. 建立以地方党委为核心的一元化领导,C. 贯彻以歼灭敌人有生力量为主的方针,D. 坚决发动群众，武装群众，依靠群众开展对匪特的斗争 正确答案：ABD 答案解析：在剿匪斗争中，我军坚持军事打击与政治瓦解相结合，坚决贯彻首恶者必办，胁从者不问，立功者受奖的政策，分化瓦解匪特，并未执行以歼灭敌人有生力量为主的方针。,
20,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,19. 下列哪些特点是属于解放战争所具有的。（     ）,多选,A|B,"19. 下列哪些特点是属于解放战争所具有的。（     ）
A、是一次国内革命战争
B、是一次大规模的正规战争
C、是中华民族由灾难深重走向伟大复兴的历史转折点
D、具有全民性、艰苦性、长期性、国际性特点
正确答案：AB
答案解析：全民性、艰苦性、长期性、国际性特点以及是中华民族由灾难深重走向伟大复兴的历史转折点都是描述抗日战争，而非解放战争。",A. 是一次国内革命战争,B. 是一次大规模的正规战争,C. 是中华民族由灾难深重走向伟大复兴的历史转折点,D. 具有全民性、艰苦性、长期性、国际性特点 正确答案：AB 答案解析：全民性、艰苦性、长期性、国际性特点以及是中华民族由灾难深重走向伟大复兴的历史转折点都是描述抗日战争，而非解放战争。,
21,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,20. 解放战争期间三路大军挺进中原，这三路大军分别是（     ）,多选,A|B|D,"20. 解放战争期间三路大军挺进中原，这三路大军分别是（     ）
A、刘邓大军
B、陈谢大军
C、许谭大军
D、陈粟大军
正确答案：ABD
答案解析：许谭大军不属于挺近中原的三路大军。",A. 刘邓大军,B. 陈谢大军,C. 许谭大军,D. 陈粟大军 正确答案：ABD 答案解析：许谭大军不属于挺近中原的三路大军。,
22,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,21. 经过解放战争三大战役，敌人主力被歼灭，我军进入了向全国进军的新阶段。这三大战役包括(   )。,多选,A|B|C,"21. 经过解放战争三大战役，敌人主力被歼灭，我军进入了向全国进军的新阶段。这三大战役包括(   )。
A、辽沈战役
B、淮海战役
C、平津战役
D、渡江战役
正确答案：ABC
答案解析：1949年4月渡江战役是在三大战役之后的，排除D项。",A. 辽沈战役,B. 淮海战役,C. 平津战役,D. 渡江战役 正确答案：ABC 答案解析：1949年4月渡江战役是在三大战役之后的，排除D项。,
23,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,22. 毛泽东高度重视人民军队在夺取政权和保卫政权中的作用，他从中国革命战争的实际出发，系统地创立了人民军队的建军原则，成功地解决了如何把以农民为主要成分的革命军队建设成为一支（    ）的新型人民军队的问题。,多选,A|C|D,"22. 毛泽东高度重视人民军队在夺取政权和保卫政权中的作用，他从中国革命战争的实际出发，系统地创立了人民军队的建军原则，成功地解决了如何把以农民为主要成分的革命军队建设成为一支（    ）的新型人民军队的问题。
A、无产阶级性质的
B、公平正义
C、具有严格纪律的
D、同群众保持紧密联系
正确答案：ACD
答案解析：新型人民军队是无产阶级性质的、具有严格纪律的、同群众保持紧密联系的，B项不正确。",A. 无产阶级性质的,B. 公平正义,C. 具有严格纪律的,D. 同群众保持紧密联系 正确答案：ACD 答案解析：新型人民军队是无产阶级性质的、具有严格纪律的、同群众保持紧密联系的，B项不正确。,
24,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,23. 人民军队在新民主主义革命时期，除了担负作战这项主要任务外，还要担负（   ）等项工作。,多选,A|B|C|D,"23. 人民军队在新民主主义革命时期，除了担负作战这项主要任务外，还要担负（   ）等项工作。
A、宣传、组织、武装群众
B、帮助群众建设政权
C、建立共产党的组织
D、利用作战间隙进行生产
正确答案：ABCD
答案解析：这支军队是执行革命政治任务的武装集团，它永远是一支战斗队，同时也执行工作队、生产队等革命政治所要求的其他任务。新民主主义革命时期，除了担负作战这项主要任务外，还要担负宣传群众、组织群众、武装群众、帮助群众建设政权以至于建立共产党的组织等多项工作，并利用作战间隙进行生产。",A. 宣传、组织、武装群众,B. 帮助群众建设政权,C. 建立共产党的组织,D. 利用作战间隙进行生产 正确答案：ABCD 答案解析：这支军队是执行革命政治任务的武装集团，它永远是一支战斗队，同时也执行工作队、生产队等革命政治所要求的其他任务。新民主主义革命时期，除了担负作战这项主要任务外，还要担负宣传群众、组织群众、武装群众、帮助群众建设政权以至于建立共产党的组织等多项工作，并利用作战间隙进行生产。,
25,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,24. 解放战争时期，在共产党领导下，国民党统治区人民进行（   ）的民主爱国运动也逐步高涨，形成反对国民党反动统治的第二条战线，使国民党政府处于全民包围之中。,多选,B|C|D,"24. 解放战争时期，在共产党领导下，国民党统治区人民进行（   ）的民主爱国运动也逐步高涨，形成反对国民党反动统治的第二条战线，使国民党政府处于全民包围之中。
A、反斗争
B、反饥饿
C、反内战
D、反迫害
正确答案：BCD
答案解析：反斗争不是解放战争时期国统区民主爱国运动的内容，故不选A。",A. 反斗争,B. 反饥饿,C. 反内战,D. 反迫害 正确答案：BCD 答案解析：反斗争不是解放战争时期国统区民主爱国运动的内容，故不选A。,
26,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,25. 毛泽东在《解放战争第二年的战略方针》中提出：“我军第二年作战的基本任务是：举行全国性的反攻，即以主力打到外线去，将战争引向国民党区域，在外线大量歼敌。”依据这一方针，中国共产党采取了重大军事行动，以下不属于这次重大军事行动的是（   ）,多选,A|C|D,"25. 毛泽东在《解放战争第二年的战略方针》中提出：“我军第二年作战的基本任务是：举行全国性的反攻，即以主力打到外线去，将战争引向国民党区域，在外线大量歼敌。”依据这一方针，中国共产党采取了重大军事行动，以下不属于这次重大军事行动的是（   ）
A、孟良箇战役
B、千里跃进大别山
C、辽沈战役
D、渡江战役
正确答案：ACD
答案解析：1947年刘邓千里跃进大别山，直接威胁到国民党统治区，揭开战略进攻的序幕，B项不符合题意；A项孟良崮战役是解放军战略防御阶段，C项辽沈战役是解放军战略决战，D项渡江战役是突破长江防线，故选ACD项。",A. 孟良箇战役,B. 千里跃进大别山,C. 辽沈战役,D. 渡江战役 正确答案：ACD 答案解析：1947年刘邓千里跃进大别山，直接威胁到国民党统治区，揭开战略进攻的序幕，B项不符合题意；A项孟良崮战役是解放军战略防御阶段，C项辽沈战役是解放军战略决战，D项渡江战役是突破长江防线，故选ACD项。,
27,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,26. 《古城新情调》一文写道：解放就是光明的到来，解放亦是生活的向上，王府百货店挂起了庆祝和平解放的大标语。文中情景不可能发生于（  ）,多选,B|C|D,"26. 《古城新情调》一文写道：解放就是光明的到来，解放亦是生活的向上，王府百货店挂起了庆祝和平解放的大标语。文中情景不可能发生于（  ）
A、平津战役胜利后
B、辽沈战役胜利后
C、渡江战役胜利后
D、淮海战役胜利后
正确答案：BCD
答案解析：王府百货就是现在的王府井大街，是北京的一景，因此确定是平津战役，故A项不选。",A. 平津战役胜利后,B. 辽沈战役胜利后,C. 渡江战役胜利后,D. 淮海战役胜利后 正确答案：BCD 答案解析：王府百货就是现在的王府井大街，是北京的一景，因此确定是平津战役，故A项不选。,
28,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,27. 1946年，解放战争爆发，解放区各部队由（ ）、（ ）、（ ）等改称为中国人民解放军。,多选,A|B|C,"27. 1946年，解放战争爆发，解放区各部队由（ ）、（ ）、（ ）等改称为中国人民解放军。
A、八路军
B、新四军
C、东北民主联军
D、红军
正确答案：ABC
答案解析：解放战争初期，当时的八路军、新四军和东北民主联军改称为中国人民解放军。",A. 八路军,B. 新四军,C. 东北民主联军,D. 红军 正确答案：ABC 答案解析：解放战争初期，当时的八路军、新四军和东北民主联军改称为中国人民解放军。,
29,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,28. 解放战争初期，人民解放军在各战略区先后组建野战军，逐步统编为（  ）和华北野战军等五大野战军。,多选,A|B|C|D,"28. 解放战争初期，人民解放军在各战略区先后组建野战军，逐步统编为（  ）和华北野战军等五大野战军。
A、西北野战军
B、中原野战军
C、华东野战军
D、东北野战军
正确答案：ABCD
答案解析：中国人民解放军五大野战军分别是西北野战军、中原野战军、华东野战军、东北野战军和华北野战军。",A. 西北野战军,B. 中原野战军,C. 华东野战军,D. 东北野战军 正确答案：ABCD 答案解析：中国人民解放军五大野战军分别是西北野战军、中原野战军、华东野战军、东北野战军和华北野战军。,
30,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,29. 中国人民解放军的军种构成除了陆军外，还包括（   ）,多选,A|B|C|D,"29. 中国人民解放军的军种构成除了陆军外，还包括（   ）
A、海军
B、空军
C、火箭军
D、战略支援部队
E、联勤保障部队
正确答案：ABCDE
答案解析：中国人民解放军的军种构成共5类",A. 海军,B. 空军,C. 火箭军,D. 战略支援部队 E、联勤保障部队 正确答案：ABCDE 答案解析：中国人民解放军的军种构成共5类,
31,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,30. 1949年6月15日，中国人民革命军事委员会主席（   ）、副主席朱德、刘少奇、（   ）、彭德怀，发布命令确立了“中国人民解放军军徽样式为镶有金黄色边之五角红星，中嵌金黄色“八一”两字，亦称“八一”军徽。”,多选,A|C,"30. 1949年6月15日，中国人民革命军事委员会主席（   ）、副主席朱德、刘少奇、（   ）、彭德怀，发布命令确立了“中国人民解放军军徽样式为镶有金黄色边之五角红星，中嵌金黄色“八一”两字，亦称“八一”军徽。”
A、毛泽东
B、陈毅
C、周恩来
D、习仲勋
正确答案：AC
答案解析：时任中国人民革命军事委员会主席毛泽东、副主席朱德、刘少奇、周恩来、彭德怀。",A. 毛泽东,B. 陈毅,C. 周恩来,D. 习仲勋 正确答案：AC 答案解析：时任中国人民革命军事委员会主席毛泽东、副主席朱德、刘少奇、周恩来、彭德怀。,
32,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,31. 延安整风的主要内容包括,多选,A|B|D,"31. 延安整风的主要内容包括
A、反对主观主义
B、反对宗派主义
C、反对官僚主义
D、反对党八股
正确答案：ABD
答案解析：反对官僚主义是三反运动的主要内容，不是延安整风运动的主要内容，符合题意，答案为ABD。",A. 反对主观主义,B. 反对宗派主义,C. 反对官僚主义,D. 反对党八股 正确答案：ABD 答案解析：反对官僚主义是三反运动的主要内容，不是延安整风运动的主要内容，符合题意，答案为ABD。,
33,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,32. 1947年2月，全面进攻被粉碎后，国民党发起重点进攻，重点进攻的解放区是？(      ),多选,A|B,"32. 1947年2月，全面进攻被粉碎后，国民党发起重点进攻，重点进攻的解放区是？(      )
A、陕北
B、山东
C、华北
D、西北
正确答案：AB
答案解析：1947年2月，全面进攻被粉碎后，国民党发起重点进攻的是陕北解放区和山东解放区，故选A、B项。",A. 陕北,B. 山东,C. 华北,D. 西北 正确答案：AB 答案解析：1947年2月，全面进攻被粉碎后，国民党发起重点进攻的是陕北解放区和山东解放区，故选A、B项。,
34,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,33. 为了对付蒋介石将要发动的全面内战，党中央采取了以下哪些措施？(      ),多选,A|B|C,"33. 为了对付蒋介石将要发动的全面内战，党中央采取了以下哪些措施？(      )
A、进行精简整编
B、加强对干部和技术人员的培训
C、开展军政大练兵
D、加强农业生产建设
正确答案：ABC
答案解析：略。",A. 进行精简整编,B. 加强对干部和技术人员的培训,C. 开展军政大练兵,D. 加强农业生产建设 正确答案：ABC 答案解析：略。,
35,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,34. 解放战争初期，党中央采取了哪些作战方式？(      ),多选,A|B|C,"34. 解放战争初期，党中央采取了哪些作战方式？(      )
A、运动战
B、进攻战
C、歼灭战
D、特种作战
正确答案：ABC
答案解析：略。",A. 运动战,B. 进攻战,C. 歼灭战,D. 特种作战 正确答案：ABC 答案解析：略。,
36,6-多选2（党史军史、军事思想、中国国防、国家安全等）.docx,35. 1948年进行的辽沈战役中，产生了哪些重要影响？(      ),多选,B|C,"35. 1948年进行的辽沈战役中，产生了哪些重要影响？(      )
A、国民党主力彻底覆灭
B、解放东北全境
C、敌我力量发生根本变化
D、工作重心从农村转向城市
正确答案：BC
答案解析：略。",A. 国民党主力彻底覆灭,B. 解放东北全境,C. 敌我力量发生根本变化,D. 工作重心从农村转向城市 正确答案：BC 答案解析：略。,
