id,source_file,question,type,answer,raw,option_A,option_B,option_C,option_D
11,1-单选1（国防法规）.docx,10. 下列场所或者机构所在地，不一定要升挂国旗的是（    ）,单选,D,"10. 下列场所或者机构所在地，不一定要升挂国旗的是（    ）
A、北京天安门广场、新华门
B、中国共产党中央委员会，全国人民代表大会常务委员会，国务院，中央军事委员会，中国共产党中央纪律检查委员会、国家监察委员会，最高人民法院，最高人民检察院；中国人民政治协商会议全国委员会
C、外交部
D、政府部门接待所有外国来宾欢迎宴会
正确答案：D
答案解析：政府部门接待所有外国来宾欢迎宴会，不一定要升挂国旗。",A. 北京天安门广场、新华门,B. 中国共产党中央委员会，全国人民代表大会常务委员会，国务院，中央军事委员会，中国共产党中央纪律检查委员会、国家监察委员会，最高人民法院，最高人民检察院；中国人民政治协商会议全国委员会,C. 外交部,D. 政府部门接待所有外国来宾欢迎宴会 正确答案：D 答案解析：政府部门接待所有外国来宾欢迎宴会，不一定要升挂国旗。
12,1-单选1（国防法规）.docx,11. 根据《中华人民共和国国旗法》规定，下列机构所在地不需要在工作日升挂国旗的是（  ）。,单选,C,"11. 根据《中华人民共和国国旗法》规定，下列机构所在地不需要在工作日升挂国旗的是（  ）。
A、中国人民政治协商会议地方各级委员会
B、地方各级人民代表大会常务委员会
C、中外合资企业
D、各民主党派、各人民团体
正确答案：C
答案解析：依据《中华人民共和国国旗法》第六条，没有要求中外合资企业所在地在工作日升挂国旗。",A. 中国人民政治协商会议地方各级委员会,B. 地方各级人民代表大会常务委员会,C. 中外合资企业,D. 各民主党派、各人民团体 正确答案：C 答案解析：依据《中华人民共和国国旗法》第六条，没有要求中外合资企业所在地在工作日升挂国旗。
13,1-单选1（国防法规）.docx,12. 根据《中华人民共和国国旗法》规定，学校除（  ）外，应当每日升挂国旗。有条件的幼儿园参照学校的规定升挂国旗。,单选,B,"12. 根据《中华人民共和国国旗法》规定，学校除（  ）外，应当每日升挂国旗。有条件的幼儿园参照学校的规定升挂国旗。
A、休息日
B、寒假、暑假和休息日
C、寒假
D、暑假
正确答案：B
答案解析：依据《中华人民共和国国旗法》第六条“学校除寒假、暑假和休息日外，应当每日升挂国旗。有条件的幼儿园参照学校的规定升挂国旗”。",A. 休息日,B. 寒假、暑假和休息日,C. 寒假,D. 暑假 正确答案：B 答案解析：依据《中华人民共和国国旗法》第六条“学校除寒假、暑假和休息日外，应当每日升挂国旗。有条件的幼儿园参照学校的规定升挂国旗”。
14,1-单选1（国防法规）.docx,13. 根据《中华人民共和国国旗法》规定，图书馆、博物馆、文化馆、美术馆、科技馆、纪念馆、展览馆、体育馆、青少年宫等公共文化体育设施应当在（  ）升挂、悬挂国旗。,单选,D,"13. 根据《中华人民共和国国旗法》规定，图书馆、博物馆、文化馆、美术馆、科技馆、纪念馆、展览馆、体育馆、青少年宫等公共文化体育设施应当在（  ）升挂、悬挂国旗。
A、休息日
B、寒假、暑假
C、节假日
D、开放日
正确答案：D
答案解析：依据《中华人民共和国国旗法》第六条“图书馆、博物馆、文化馆、美术馆、科技馆、纪念馆、展览馆、体育馆、青少年宫等公共文化体育设施应当在开放日升挂、悬挂国旗”。",A. 休息日,B. 寒假、暑假,C. 节假日,D. 开放日 正确答案：D 答案解析：依据《中华人民共和国国旗法》第六条“图书馆、博物馆、文化馆、美术馆、科技馆、纪念馆、展览馆、体育馆、青少年宫等公共文化体育设施应当在开放日升挂、悬挂国旗”。
15,1-单选1（国防法规）.docx,"14. 根据《中华人民共和国国旗法》规定， 国庆节、国际劳动节、元旦、春节和（  ）等重要节日、纪念日，各级国家机关、各人民团体以及大型广场、公园等公共活动场所应当升挂国旗；企业事业组织，村民委员会、居民委员会,居民院 (楼、小区) 有条件的应当升挂国旗。",单选,A,"14. 根据《中华人民共和国国旗法》规定， 国庆节、国际劳动节、元旦、春节和（  ）等重要节日、纪念日，各级国家机关、各人民团体以及大型广场、公园等公共活动场所应当升挂国旗；企业事业组织，村民委员会、居民委员会,居民院 (楼、小区) 有条件的应当升挂国旗。
A、国家宪法日
B、世界和平日
C、国际青年节
D、植树节
正确答案：A
答案解析：依据《中华人民共和国国旗法》第七条“ 国庆节、国际劳动节、元旦、春节和国家宪法日等重要节日、纪念日，各级国家机关、各人民团体以及大型广场、公园等公共活动场所应当升挂国旗；企业事业组织，村民委员会、居民委员会,居民院 (楼、小区) 有条件的应当升挂国旗”。",A. 国家宪法日,B. 世界和平日,C. 国际青年节,"D. 植树节 正确答案：A 答案解析：依据《中华人民共和国国旗法》第七条“ 国庆节、国际劳动节、元旦、春节和国家宪法日等重要节日、纪念日，各级国家机关、各人民团体以及大型广场、公园等公共活动场所应当升挂国旗；企业事业组织，村民委员会、居民委员会,居民院 (楼、小区) 有条件的应当升挂国旗”。"
16,1-单选1（国防法规）.docx,15. 根据《中华人民共和国国旗法》规定，民族自治地方在民族自治地方成立纪念日和主要传统民族节日，（  ）升挂国旗。,单选,A,"15. 根据《中华人民共和国国旗法》规定，民族自治地方在民族自治地方成立纪念日和主要传统民族节日，（  ）升挂国旗。
A、应当
B、可以
C、民族自治地方的人民代表大会决定是否
D、民族自治地方的人民政府决定是否
正确答案：A
答案解析：依据《中华人民共和国国旗法》第七条“民族自治地方在民族自治地方成立纪念日和主要传统民族节日应当升挂国旗”。",A. 应当,B. 可以,C. 民族自治地方的人民代表大会决定是否,D. 民族自治地方的人民政府决定是否 正确答案：A 答案解析：依据《中华人民共和国国旗法》第七条“民族自治地方在民族自治地方成立纪念日和主要传统民族节日应当升挂国旗”。
17,1-单选1（国防法规）.docx,16. 根据《中华人民共和国国旗法》规定，举行宪法宣誓仪式时，应当在宣誓场所悬挂（  ）。,单选,C,"16. 根据《中华人民共和国国旗法》规定，举行宪法宣誓仪式时，应当在宣誓场所悬挂（  ）。
A、党旗
B、党徽
C、国旗
D、国旗或党旗
正确答案：C
答案解析：依据《中华人民共和国国旗法》第七条“举行宪法宣誓仪式时，应当在宣誓场所悬挂国旗”。",A. 党旗,B. 党徽,C. 国旗,D. 国旗或党旗 正确答案：C 答案解析：依据《中华人民共和国国旗法》第七条“举行宪法宣誓仪式时，应当在宣誓场所悬挂国旗”。
18,1-单选1（国防法规）.docx,"17. 根据《中华人民共和国国旗法》规定，举行重大庆祝、纪念活动, 大型文化、体育活动、大型展览会，（  ）升挂国旗。",单选,D,"17. 根据《中华人民共和国国旗法》规定，举行重大庆祝、纪念活动, 大型文化、体育活动、大型展览会，（  ）升挂国旗。
A、由当地人民大表大会决定是否
B、由当地县及人民政府决定
C、必须
D、可以
正确答案：D
答案解析：依据《中华人民共和国国旗法》第八条“举行重大庆祝、纪念活动, 大型文化、体育活动、大型展览会，可以升挂国旗”。",A. 由当地人民大表大会决定是否,B. 由当地县及人民政府决定,C. 必须,"D. 可以 正确答案：D 答案解析：依据《中华人民共和国国旗法》第八条“举行重大庆祝、纪念活动, 大型文化、体育活动、大型展览会，可以升挂国旗”。"
19,1-单选1（国防法规）.docx,"18. 根据《中华人民共和国国旗法》规定，国家倡导公民和组织在（  ）场合使用国旗及其图案,表达爱国情感。",单选,B,"18. 根据《中华人民共和国国旗法》规定，国家倡导公民和组织在（  ）场合使用国旗及其图案,表达爱国情感。
A、特定的
B、适宜的
C、规定的
D、任何的
正确答案：B
答案解析：依据《中华人民共和国国旗法》第九条“国家倡导公民和组织在适宜的场合使用国旗及其图案,表达爱国情感”。",A. 特定的,B. 适宜的,C. 规定的,"D. 任何的 正确答案：B 答案解析：依据《中华人民共和国国旗法》第九条“国家倡导公民和组织在适宜的场合使用国旗及其图案,表达爱国情感”。"
20,1-单选1（国防法规）.docx,19. 根据《中华人民共和国国旗法》规定，（  ）在网络中使用国旗图案，应当遵守相关网络管理规定，不得损害国旗尊严。,单选,C,"19. 根据《中华人民共和国国旗法》规定，（  ）在网络中使用国旗图案，应当遵守相关网络管理规定，不得损害国旗尊严。
A、公民
B、组织
C、公民和组织
正确答案：C
答案解析：依据《中华人民共和国国旗法》第九条“公民和组织在网络中使用国旗图案，应当遵守相关网络管理规定，不得损害国旗尊严”。",A. 公民,B. 组织,C. 公民和组织 正确答案：C 答案解析：依据《中华人民共和国国旗法》第九条“公民和组织在网络中使用国旗图案，应当遵守相关网络管理规定，不得损害国旗尊严”。,
21,1-单选1（国防法规）.docx,20. 根据《中华人民共和国国旗法》规定，网络使用的国旗图案标准版本在（  ）上发布。,单选,A,"20. 根据《中华人民共和国国旗法》规定，网络使用的国旗图案标准版本在（  ）上发布。
A、中国人大网和中国政府网
B、中国人大网和教育网
C、中国政府网和商业网
D、中国政府网和公益网
正确答案：A
答案解析：依据《中华人民共和国国旗法》第九条“网络使用的国旗图案标准版本在中国人大网和中国政府网上发布”。",A. 中国人大网和中国政府网,B. 中国人大网和教育网,C. 中国政府网和商业网,D. 中国政府网和公益网 正确答案：A 答案解析：依据《中华人民共和国国旗法》第九条“网络使用的国旗图案标准版本在中国人大网和中国政府网上发布”。
22,1-单选1（国防法规）.docx,21. 关于重要国际活动场所可以升挂国旗的说法，以下表述错误的是（  ）。,单选,D,"21. 关于重要国际活动场所可以升挂国旗的说法，以下表述错误的是（  ）。
A、国际条约和重要协定的签字仪式可以悬挂中国国旗和有关签约国国旗或政府间国际和地区组织旗。
B、国际会议、国际军事合作活动、文化体育活动、展览会、博览会等，可以升挂中国国旗和有关国家的国旗或政府间国际和地区组织旗。
C、外国政府和国际组织经援项目以及大型外商投资企业的奠基、开业、落成典礼以及重大庆祝活动可以同时升挂中国国旗和有关国国旗或政府间国际和地区组织旗。
D、民间团体和地方政府在双边和多边交往中举行重大活动时，不可以同时升挂中国国旗和有关国国旗或政府间国际和地区组织旗。
正确答案：D
答案解析：民间团体和地方政府在双边和多边交往中举行重大活动时，可以同时升挂中国国旗和有关国国旗或政府间国际和地区组织旗。",A. 国际条约和重要协定的签字仪式可以悬挂中国国旗和有关签约国国旗或政府间国际和地区组织旗。,B. 国际会议、国际军事合作活动、文化体育活动、展览会、博览会等，可以升挂中国国旗和有关国家的国旗或政府间国际和地区组织旗。,C. 外国政府和国际组织经援项目以及大型外商投资企业的奠基、开业、落成典礼以及重大庆祝活动可以同时升挂中国国旗和有关国国旗或政府间国际和地区组织旗。,D. 民间团体和地方政府在双边和多边交往中举行重大活动时，不可以同时升挂中国国旗和有关国国旗或政府间国际和地区组织旗。 正确答案：D 答案解析：民间团体和地方政府在双边和多边交往中举行重大活动时，可以同时升挂中国国旗和有关国国旗或政府间国际和地区组织旗。
23,1-单选1（国防法规）.docx,22. 在中国国内，中国国旗与多国国旗并列升挂时，中国国旗应当置于荣誉地位。以下关于并排升挂具体办法描述错误的是（  ）。,单选,A,"22. 在中国国内，中国国旗与多国国旗并列升挂时，中国国旗应当置于荣誉地位。以下关于并排升挂具体办法描述错误的是（  ）。
A、一列并排时，以旗面面向观众为准，中国国旗在最左方。
B、单行排列时，中国国旗在最前面。
C、弧形或从中间往两旁排列时，中国国旗在中心。
D、圆形排列时，中国国旗在主席台（或主入口）对面的中心位置。
正确答案：A
答案解析：一列并排时，以旗面面向观众为准，中国国旗在最右方",A. 一列并排时，以旗面面向观众为准，中国国旗在最左方。,B. 单行排列时，中国国旗在最前面。,C. 弧形或从中间往两旁排列时，中国国旗在中心。,D. 圆形排列时，中国国旗在主席台（或主入口）对面的中心位置。 正确答案：A 答案解析：一列并排时，以旗面面向观众为准，中国国旗在最右方
24,1-单选1（国防法规）.docx,23. 在中国国内，多国国旗并列升挂，旗杆高度应当（  ）。,单选,A,"23. 在中国国内，多国国旗并列升挂，旗杆高度应当（  ）。
A、一致
B、不一致
C、高于其他国家
D、低于其他国家
正确答案：A
答案解析：在中国国内，多国国旗并列升挂，旗杆高度应当一致。",A. 一致,B. 不一致,C. 高于其他国家,D. 低于其他国家 正确答案：A 答案解析：在中国国内，多国国旗并列升挂，旗杆高度应当一致。
25,1-单选1（国防法规）.docx,24. 在以中国国旗与外国国旗为主要元素设计使用庆祝建交等重大活动标志时，应当最大限度维护国旗图案完整性，(  )损害国旗尊严。,单选,B,"24. 在以中国国旗与外国国旗为主要元素设计使用庆祝建交等重大活动标志时，应当最大限度维护国旗图案完整性，(  )损害国旗尊严。
A、可以
B、不得
C、不应
D、视情况而定
正确答案：B
答案解析：在以中国国旗与外国国旗为主要元素设计使用庆祝建交等重大活动标志时，应当最大限度维护国旗图案完整性，不得损害国旗尊严。",A. 可以,B. 不得,C. 不应,D. 视情况而定 正确答案：B 答案解析：在以中国国旗与外国国旗为主要元素设计使用庆祝建交等重大活动标志时，应当最大限度维护国旗图案完整性，不得损害国旗尊严。
26,1-单选1（国防法规）.docx,25. 以下关于升挂国旗或政府间国际和地区组织旗的说法，错误的是（  ）。,单选,A,"25. 以下关于升挂国旗或政府间国际和地区组织旗的说法，错误的是（  ）。
A、接待外国国家元首（含副元首）和政府首脑时，在重大礼仪活动场所，如欢迎仪式、正式会谈、签字仪式、欢迎宴会等，不得升挂中国国旗和来访国国旗。
B、接待外国政府副首脑时，在重大礼仪活动场所，如正式会谈、签字仪式等，升挂中国国旗和来访国国旗。
C、接待外国贵宾时，在重大礼仪活动场所，如正式会谈、签字仪式等，可以悬挂中国国旗和来访国国旗或组织旗。
D、接待外国贵宾时，可以在贵宾的住地升挂、在贵宾乘坐的交通工具上悬挂来访国国旗或组织旗。
正确答案：A
答案解析：接待外国国家元首（含副元首）和政府首脑时，在重大礼仪活动场所，如欢迎仪式、正式会谈、签字仪式、欢迎宴会等，升挂中国国旗和来访国国旗。",A. 接待外国国家元首（含副元首）和政府首脑时，在重大礼仪活动场所，如欢迎仪式、正式会谈、签字仪式、欢迎宴会等，不得升挂中国国旗和来访国国旗。,B. 接待外国政府副首脑时，在重大礼仪活动场所，如正式会谈、签字仪式等，升挂中国国旗和来访国国旗。,C. 接待外国贵宾时，在重大礼仪活动场所，如正式会谈、签字仪式等，可以悬挂中国国旗和来访国国旗或组织旗。,D. 接待外国贵宾时，可以在贵宾的住地升挂、在贵宾乘坐的交通工具上悬挂来访国国旗或组织旗。 正确答案：A 答案解析：接待外国国家元首（含副元首）和政府首脑时，在重大礼仪活动场所，如欢迎仪式、正式会谈、签字仪式、欢迎宴会等，升挂中国国旗和来访国国旗。
27,1-单选1（国防法规）.docx,26. 以下关于驻外外交机构下半旗的情况，说法错误的是（  ）。,单选,D,"26. 以下关于驻外外交机构下半旗的情况，说法错误的是（  ）。
A、中华人民共和国主席、全国人民代表大会常务委员会委员长、国务院总理、中央军事委员会主席逝世
B、中国人民政治协商会议全国委员会主席逝世
C、对中华人民共和国作出杰出贡献的人、对世界和平或者人类进步事业作出杰出贡献的人逝世，国务院决定下半旗的，根据中国外交部通知下半旗
D、外国政府和国际组织经援项目以及大型外商投资企业的奠基、开业、落成典礼以及重大庆祝活动
正确答案：D
答案解析：外国政府和国际组织经援项目以及大型外商投资企业的奠基、开业、落成典礼以及重大庆祝活动不属于下半旗的情况。",A. 中华人民共和国主席、全国人民代表大会常务委员会委员长、国务院总理、中央军事委员会主席逝世,B. 中国人民政治协商会议全国委员会主席逝世,C. 对中华人民共和国作出杰出贡献的人、对世界和平或者人类进步事业作出杰出贡献的人逝世，国务院决定下半旗的，根据中国外交部通知下半旗,D. 外国政府和国际组织经援项目以及大型外商投资企业的奠基、开业、落成典礼以及重大庆祝活动 正确答案：D 答案解析：外国政府和国际组织经援项目以及大型外商投资企业的奠基、开业、落成典礼以及重大庆祝活动不属于下半旗的情况。
28,1-单选1（国防法规）.docx,27. 中国国旗与外国国旗、政府间国际和地区组织旗并挂时，有关旗帜应当按照有关国家、组织规定的比例制作，尽量做到旗的面积（  ）。,单选,A,"27. 中国国旗与外国国旗、政府间国际和地区组织旗并挂时，有关旗帜应当按照有关国家、组织规定的比例制作，尽量做到旗的面积（  ）。
A、大体相等
B、完全相等
C、大小不一
D、不必相等
正确答案：A
答案解析：中国国旗与外国国旗、政府间国际和地区组织旗并挂时，有关旗帜应当按照有关国家、组织规定的比例制作，尽量做到旗的面积大体相等。",A. 大体相等,B. 完全相等,C. 大小不一,D. 不必相等 正确答案：A 答案解析：中国国旗与外国国旗、政府间国际和地区组织旗并挂时，有关旗帜应当按照有关国家、组织规定的比例制作，尽量做到旗的面积大体相等。
29,1-单选1（国防法规）.docx,28. 外国驻华机构、政府间国际和地区组织在中国设立的总部或代表机构、外商投资企业、外国公民同时升挂中国和外国国旗或组织旗时，必须将中国国旗置于上首或(  )位置。,单选,C,"28. 外国驻华机构、政府间国际和地区组织在中国设立的总部或代表机构、外商投资企业、外国公民同时升挂中国和外国国旗或组织旗时，必须将中国国旗置于上首或(  )位置。
A、最前
B、最后
C、中心
D、下首
正确答案：C
答案解析：外国驻华机构、政府间国际和地区组织在中国设立的总部或代表机构、外商投资企业、外国公民同时升挂中国和外国国旗或组织旗时，必须将中国国旗置于上首或中心位置。",A. 最前,B. 最后,C. 中心,D. 下首 正确答案：C 答案解析：外国驻华机构、政府间国际和地区组织在中国设立的总部或代表机构、外商投资企业、外国公民同时升挂中国和外国国旗或组织旗时，必须将中国国旗置于上首或中心位置。
30,1-单选1（国防法规）.docx,29. 以下说法正确的是（  ）。,单选,D,"29. 以下说法正确的是（  ）。
A、在中国国内，多国国旗并列升挂，旗杆高度可以不一致。
B、升挂时必须先升中国国旗，降落时最先降中国国旗。
C、同一旗杆上可以升挂两个国家的国旗。
D、遇有需要夜间在室外悬挂国旗时，国旗必须置于灯光照射之下。
正确答案：D
答案解析：A选项在中国国内，多国国旗并列升挂，旗杆高度应当一致；B选项升挂时必须先升中国国旗，降落时最后降中国国旗；C选项同一旗杆上不能升挂两个国家的国旗。",A. 在中国国内，多国国旗并列升挂，旗杆高度可以不一致。,B. 升挂时必须先升中国国旗，降落时最先降中国国旗。,C. 同一旗杆上可以升挂两个国家的国旗。,D. 遇有需要夜间在室外悬挂国旗时，国旗必须置于灯光照射之下。 正确答案：D 答案解析：A选项在中国国内，多国国旗并列升挂，旗杆高度应当一致；B选项升挂时必须先升中国国旗，降落时最后降中国国旗；C选项同一旗杆上不能升挂两个国家的国旗。
31,1-单选1（国防法规）.docx,30. 以下关于悬挂国旗的说法，正确的是（  ）。,单选,A,"30. 以下关于悬挂国旗的说法，正确的是（  ）。
A、悬挂国旗一般应以旗的正面面向观众，不要随意交叉悬挂或竖挂，更不得倒挂。
B、悬挂国旗一般应以旗的正面面向观众，不要随意交叉悬挂或竖挂，但可以倒挂。
C、悬挂国旗一般应以旗的反面面向观众，不要随意交叉悬挂或竖挂，更不得倒挂。
D、悬挂国旗一般应以旗的反面面向观众，不要随意交叉悬挂或竖挂，但可以倒挂。
正确答案：A
答案解析：悬挂国旗一般应以旗的正面面向观众，不要随意交叉悬挂或竖挂，更不得倒挂。",A. 悬挂国旗一般应以旗的正面面向观众，不要随意交叉悬挂或竖挂，更不得倒挂。,B. 悬挂国旗一般应以旗的正面面向观众，不要随意交叉悬挂或竖挂，但可以倒挂。,C. 悬挂国旗一般应以旗的反面面向观众，不要随意交叉悬挂或竖挂，更不得倒挂。,D. 悬挂国旗一般应以旗的反面面向观众，不要随意交叉悬挂或竖挂，但可以倒挂。 正确答案：A 答案解析：悬挂国旗一般应以旗的正面面向观众，不要随意交叉悬挂或竖挂，更不得倒挂。
32,1-单选1（国防法规）.docx,31. 在室外或公共场所，只能升挂与中国建立外交关系的国家的国旗。如要升挂未建交国国旗，必须事先征得所在省、自治区、直辖市人民政府外事办公室批准，并报（  ）审批。,单选,A,"31. 在室外或公共场所，只能升挂与中国建立外交关系的国家的国旗。如要升挂未建交国国旗，必须事先征得所在省、自治区、直辖市人民政府外事办公室批准，并报（  ）审批。
A、外交部
B、教育部
C、人社部
D、国务院
正确答案：A
答案解析：在室外或公共场所，只能升挂与中国建立外交关系的国家的国旗。如要升挂未建交国国旗，必须事先征得所在省、自治区、直辖市人民政府外事办公室批准，并报外交部审批。",A. 外交部,B. 教育部,C. 人社部,D. 国务院 正确答案：A 答案解析：在室外或公共场所，只能升挂与中国建立外交关系的国家的国旗。如要升挂未建交国国旗，必须事先征得所在省、自治区、直辖市人民政府外事办公室批准，并报外交部审批。
33,1-单选1（国防法规）.docx,32. 举办双边活动需要升挂中国和外国国旗时，以下说法正确的是（  ）。,单选,B,"32. 举办双边活动需要升挂中国和外国国旗时，以下说法正确的是（  ）。
A、举办双边活动需要升挂中国和外国国旗时，凡中方主办的活动，中国国旗置于上首；对方举办的活动，外国国旗置于上首。
B、举办双边活动需要升挂中国和外国国旗时，凡中方主办的活动，外国国旗置于上首；对方举办的活动，中国国旗置于上首。
C、举办双边活动需要升挂中国和外国国旗时，无论哪方主办的活动，中国国旗都置于上首。
D、举办双边活动需要升挂中国和外国国旗时，无论哪方主办的活动，外国国旗都置于上首。
正确答案：B
答案解析：举办双边活动需要升挂中国和外国国旗时，凡中方主办的活动，外国国旗置于上首；对方举办的活动，中国国旗置于上首。",A. 举办双边活动需要升挂中国和外国国旗时，凡中方主办的活动，中国国旗置于上首；对方举办的活动，外国国旗置于上首。,B. 举办双边活动需要升挂中国和外国国旗时，凡中方主办的活动，外国国旗置于上首；对方举办的活动，中国国旗置于上首。,C. 举办双边活动需要升挂中国和外国国旗时，无论哪方主办的活动，中国国旗都置于上首。,D. 举办双边活动需要升挂中国和外国国旗时，无论哪方主办的活动，外国国旗都置于上首。 正确答案：B 答案解析：举办双边活动需要升挂中国和外国国旗时，凡中方主办的活动，外国国旗置于上首；对方举办的活动，中国国旗置于上首。
